hostname,ip
ITB-1006-CP-1,,10.66.9.190
ITB-1010-CP-1,10.6.36.57
ITB-1100A-CP-1,10.6.36.51
ITB-1100M-CP-1,10.6.36.244
ITB-1208-CP-1,10.6.36.98
ITB-2019-CP-1,10.6.36.43
ITB-2019-CP-1,10.6.36.40
ITB-3006-CP-1,10.6.36.61
ITB-3308-CP-1,10.6.36.94
ITB-3310-CP-1,10.6.36.90
ITB-3314J-CP-1,10.5.36.237
ITB-TEST-CP-1,10.5.34.33
JFSB-1031C-CP-1,10.66.3.213
JFSB-1041L-CP-1,10.26.3.24
JFSB-1161-CP-1,10.66.3.217
JFSB-2002-CP-1,10.26.3.28
JFSB-2068-CP-1,10.66.3.245
JFSB-2110-CP-1,10.26.3.49
JFSB-2114-CP-1,10.26.3.141
JFSB-2198-CP-1,10.26.3.32
JFSB-3002-CP-1,10.22.7.250
JFSB-3068-CP-1,10.66.3.221
JFSB-3082-CP-1,10.66.3.225
JFSB-3116-CP-1,10.66.3.229
JFSB-3132-CP-1,10.66.3.249
JFSB-3198-CP-1,10.26.3.36
JFSB-4010-CP-1,10.26.3.121
JFSB-4068-CP-1,10.66.3.233
JFSB-4082-CP-1,10.66.3.237
JFSB-4116-CP-1,10.26.3.191
JFSB-4186-CP-1,10.26.3.40
JFSB-4188-CP-1,10.26.3.44
JFSB-B002-CP-1,10.22.3.253
JFSB-B002-CP-2,10.22.3.252
JFSB-B003A-CP-1,10.26.3.20
JFSB-B030-CP-1,10.26.3.53
JFSB-B032-CP-1,10.26.3.57
JFSB-B037-CP-1,10.22.3.244
JFSB-B037-CP-2,10.22.3.248
JFSB-B040-CP-1,10.26.3.101
JFSB-B042-CP-1,10.26.3.61
JFSB-B043-CP-1,10.26.3.109
JFSB-B050-CP-1,10.26.3.65
JFSB-B053-CP-1,10.26.3.113
JFSB-B060-CP-1,10.26.3.69
JFSB-B061-CP-1,10.26.3.97
JFSB-B062-CP-1,10.26.3.137
JFSB-B071-CP-1,10.26.3.145
JFSB-B092-CP-1,10.26.3.169
JFSB-B094-CP-1,10.26.3.73
JFSB-B099-CP-1,10.26.3.129
JFSB-B101-CP-1,10.26.3.117
JFSB-B103-CP-1,10.26.3.137
JFSB-B104-CP-1,10.26.3.77
JFSB-B105-CP-1,10.66.3.241
JFSB-B106-CP-1,10.26.3.12
JFSB-B112-CP-1,10.26.3.153
JFSB-B114-CP-1,10.26.3.157
JFSB-B132-CP-1,10.26.3.81
JFSB-B135-CP-1,10.26.3.16
JFSB-B137-CP-1,10.26.3.125
JFSB-B140-CP-1,10.26.3.105
JFSB-B142-CP-1,10.26.3.89
JFSB-B150-CP-1,10.26.3.93
JFSB-B152-CP-1,10.26.3.85
JFSB-B160-CP-1,10.22.2.249
JFSB-B164-CP-1,10.66.3.205
JFSB-B181-CP-1,,10.66.3.209
JFSB-B190-CP-1,10.22.2.253
JFSB-B190-CP-2,10.22.2.248
JFSB-B192-CP-1,10.22.2.252
JKB-1001A-CP-1,10.6.82.176
JKB-1001B-CP-1,10.6.82.172
JKB-1001C-CP-1,10.66.82.201
JKB-1002-CP-1,10.6.82.84
JKB-1004-CP-1,10.6.82.88
JKB-1005-CP-1,10.6.82.12
JKB-1006-CP-1,10.6.82.92
JKB-1008-CP-1,10.6.82.152
JKB-1010-CP-1,10.6.82.64
JKB-1012-CP-1,10.6.82.96
JKB-1013-CP-1,10.6.82.136
JKB-1018-CP-1,10.6.82.76
JKB-1020-CP-1,10.6.82.72
JKB-1101-CP-1,10.66.82.185
JKB-1102-CP-1,10.6.82.56
JKB-1103-CP-1,10.6.82.120
JKB-1104-CP-1,10.6.82.16
